Region,State/Division,Branch Name,Address in Myanmar,Address in English,Phone number,Latitude,Longitude,Locatin on Google Map
Region 1 A,Ayeyarwady Division,,အိမ်အမှတ် (၂၁)၊  ဘောလုံးကွင်းလမ်း၊ အမှတ်(၁)ရပ်ကွက်၊ ကန်ကြီးထောင့်မြို့နယ်၊ ဧရာဝတီတိုင်းဒေသကြီး။,".Football Kwin Road, No.(4) Ward, Kangyidaunt Township, Ayeyarwady Division, Myanmar.",9940590755,16.929271,94.894865,https://goo.gl/maps/sJBsbDr6EUo6W4rFA
, ,Labutta,အမှတ်(၅/၁၇၉)၊ ဘုရားလမ်း၊ (၅) ရပ်ကွက်၊ လပွတ္တာမြို့နယ်၊ ဧရာဝတီတိုင်းဒေသကြီး။,"No.(62), Pagoda Road, (5) Ward, Labutta Township, Ayeyarwaddy Division, Myanmar.",9940844490,16.146944,94.76,https://goo.gl/maps/3qhtamng4e5YhJhq6
,,Myaungmya,အမှတ်(၁၆၄/ခ)၊ ဗိုလ်ဗထူးလမ်း၊ ကျွန်းတော(၃)ရပ်ကွက်၊ မြောင်းမြမြို့နယ်၊ ဧရာဝတီတိုင်းဒေသကြီး။,"No.164/B, Bo Ba Htoo Street, Kyun Taw (3) Ward, Myaungmya Township, Ayeyarwady Division, Myanmar.",9940590766,16.587778,94.926389,https://goo.gl/maps/9EQxpvtjoK4qu7NB6
, ,Yegyi,အမှတ်(၂၅)၊ အောင်ဆန်း(၆)လမ်း၊ အမှတ်(၂)ရပ်ကွက်၊ ရေကြည်မြို့နယ်၊ ဧရာဝတီတိုင်းဒေသကြီး။,"No-(25), Aung San (6) street, No-(2) Ward, Yegyi Township, Ayeyarwady Division, Myanmar.",9977751178,17.343056,95.117778,https://goo.gl/maps/uCJnQt2pJn47o1gFA
,,Zalun,"""ဧရာဝတီတိုင်းဒေသကြီး၊ ဇလွန်မြို့၊ လမ်းမတော်တောင်ရပ်ကွက်၊ ဗိုလ်ချုပ်လမ်း","Bogoke road, Lanmadaw South Ward, Zalun Township, Ayeyarwady Division.",9949221254,17.477034,95.558504,"https://www.google.com/maps/place/17%C2%B028'37.3%22N+95%C2%B033'30.6%22E/@17.500821,95.5262229,13.13z/data=!4m4!3m3!8m2!3d17.477034!4d95.558504?entry=ttu"
,,Pathein,အမှတ် (၁၅)၊ မင်းကြီးလမ်း၊ပုသိမ်မြို့၊ (၂)ရပ်ကွက်၊ ဧရာဝတီတိုင်းဒေသကြီး၊။,"No. (15), Min Gyi street, (2) ward, Pathein township, Ayeyarwaddy region.",9949220550,16.8551681,94.439703,"https://www.google.com/maps/place/16%C2%B047'22.2%22N+94%C2%B044'03.9%22E/@16.8551681,94.439703,10.7z/data=!4m4!3m3!8m2!3d16.78951!4d94.734422?entry=ttu"
,,Hinthada,အမှတ် (၂၀၂)၊ အောင်မြေသုခလမ်း၊  ဘုရားကြီးရပ်ကွက်၊ ဟင်္သာတမြို့၊ ဧရာဝတီတိုင်းဒေသကြီး။,"No.(202), Aung Myay Thukha street, Pagoda ward, Hinthada thownship.",9969998104,17.6433453,95.4575214,https://maps.app.goo.gl/5FSr6yAUaVWdozVK8
,,,အမှတ် (၁၇)၊ ကျောင်းတိုက်ကြီးလမ်း၊ အမှတ်(၄)ရပ်ကွက်၊ မြန်အောင်မြို့ ၊  ဧရာဝတီတိုင်းဒေသကြီး။,"No. (17), Kyaung Tike Gyi street, (4) ward, Myanaung township, Ayeyarwaddy region.",,18°17'08.9,"95°18'56.4""","https://www.google.com/maps?q=loc:18.285811,95.315675"
Region 1 B, ,Dedaye,အမှတ် (၉၆)၊ ပြည်တော်သာလမ်း၊ အမှတ် (၂)ရပ်ကွက်၊ဒေးဒရဲမြို့နယ်၊ဧရာဝတီတိုင်းဒေသကြီး။,"No.96, Pyitawthar street, 2 ward, dedaye city, Ayeyarwady Division,Myanmar",9977631055,16.41,95.889306,https://goo.gl/maps/XjECKrQmbYGrZ528A
, ,Mawlamyinekyun,"အမှတ် (၇၃), တပင်ရွှေထီးလမ်း, အမှတ် (၁၂)ရပ်ကွက်၊ မော်လမြိုင်ကျွန်းမြို့နယ်၊ ဧရာဝတီတိုင်း ဒေသကြီး","No. (73), Tapinshwehtee Street, No.(12) ward, Mawlamyinegyun Township,Ayeyarwaddy Division, Myanmar",9977631062,16.391306,95.265194,https://goo.gl/maps/Wwn2vbBby4e8qRHf9
,,Kyaiklat,အမှတ်(၉)၊ ၅လမ်း၊ (၃)ရပ်ကွက်၊ ကျိုက်လတ်မြို့နယ်၊ဧရာဝတီတိုင်းဒေသကြီး။,"No (9), Street 5, No (3) Ward, Kyaiklat Township, Ayeyarwaddy Division",9940935058,16.446457,95.725892,https://maps.app.goo.gl/yg1GzmsWoy3bKVb87
, ,Einme,အမှတ် (၃၂၀)၊ ဘုရင့်နောင်လမ်း ၊ အထက်ပိုင်းရပ်ကွက်၊ အိမ်မဲမြို့နယ်၊ ဧရာဝတီတိုင်းဒေသကြီး။,"N0(320), BaYintNaung road, Ah Htat Paing ward, Einme  Township, Ayeyarwaddy Division, Myanmar.",9940590765,16°53'46.7,95°10'49.2,"https://www.google.com/maps/place/16.896312,+95.180334/@16.8963615,95.180249,20z/data=!3m1!1e3!4m4!3m3!8m2!3d16.8963125!4d95.1803337"
,,Phyapon,အမှတ်(၂၃၄)၊ အောင်မင်းခေါင်လမ်း၊ (၁) ရပ်ကွက်၊ ဖျာပုံမြို့ ၊ ဧရာဝတီတိုင်းဒေသကြီး,"No. (234), Aung Min Khaung street, (1) ward, Phyapon township, Ayeyarwaddy region.",9977630962,16.2944109,95.682772,https://www.bing.com/maps?rtp=adr.%7Epos.16.2944109_95.6827459&cp=16.294433%7E95.682772&lvl=14.5
,,Maubin,အမှတ် ၉၉၊ ဘုရားလမ်းနှင့် ခိုင်သော်တာလမ်းထောင့်၊ မအူပင်မြို့ (၆) ရပ်ကွက်၊ ဧရာဝတီတိုင်းဒေသကြီး။,"No.99 , Corner of Pharyar Street and Khine Thawdar Street, Maubin (6)th Ward , Ayeyarwaddy Division.",9940935076,16.7553436,95.7195098,"https://www.google.com/maps/search/No.99+,+Corner+of+Pharyar+Street+and+Khine+Thawdar+Street,+Maubin+(6)th+Ward+,+Ayeyarwaddy+Division./@16.7553436,95.7195098,11z/data=!3m1!4b1?entry=ttu"
,,Pantanaw,အမှတ် (၃၁၊၃၂)၊ ရန်ကုန်-ပုသိမ်လမ်း၊ မြို့ကွက်သစ် (၃)ရပ်ကွက်၊ ပန်းတနော်မြို့ ၊ဧရာဝတီတိုင်းဒေသကြီး။,"No,(31,32), Yangon-Pathein Road, Myo Kwat Thit(3) Ward,, Pantanaw township, Ayeyarwaddy Division.",9949220540,16°59'21.5,95°27'53.1,https://maps.app.goo.gl/yetBm8HSzpueu6cE7
,,Nyaungdon, အမှတ် (၇၅)၊ ၃၅လမ်းထိပ်၊ အမှတ်(၁)ရပ်ကွက်၊ ညောင်တုန်းမြို့ ၊ ဧရာဝတီတိုင်းဒေသကြီး။,"No. (75), 35th street, (1) ward, Nyaungdon township, Ayeyarwaddy region.",9949221260,17.0404589,95.6610473,"https://www.google.com/maps/place/17%C2%B003'05.9%22N+95%C2%B038'45.7%22E/@17.0404589,95.6610473,12.57z/data=!4m4!3m3!8m2!3d17.051641!4d95.646016?entry=ttu"
